RegWt,ReqSize,ReqQuality,Result
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
373718,3,3,0
0,3,3,0
8192,3,3,0
8192,3,3,0
16384,3,3,0
16384,3,3,0
0,3,3,0
0,0,0,0
256,3,3,0
0,0,0,0
0,0,0,0
0,3,3,0
0,3,3,0
0,3,3,0
0,3,3,0
0,3,3,0
0,0,0,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,0,0,0
0,0,0,0
0,0,0,0
0,3,1,0
0,3,1,0
0,0,0,0
0,0,0,0
0,0,0,0
0,3,1,0
0,3,1,0
54,2,3,0
118,2,3,0
54,2,3,0
54,2,3,0
0,2,3,0
0,2,3,0
52,2,3,0
0,3,3,0
108,3,3,0
108,3,3,0
108,3,3,0
108,3,3,0
52,3,3,0
52,3,3,0
52,3,3,0
52,3,3,0
52,3,3,0
52,3,3,0
52,3,3,0
52,3,3,0
52,3,3,0
24,3,3,0
24,3,3,0
24,3,3,0
48,3,3,0
236,3,3,0
236,3,3,0
236,3,3,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
48,3,3,0
48,3,3,0
108,3,3,0
24,3,3,0
24,3,3,0
2,3,3,0
0,3,3,0
2,3,3,0
24,3,3,0
0,3,3,0
24,3,3,0
24,3,3,0
24,3,3,0
24,3,3,0
116,1,3,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
52,2,3,0
52,2,3,0
57834,2,3,0
28916,2,3,0
0,0,0,0
118,3,3,0
6,3,3,0
6,3,3,0
6,3,3,0
118,3,3,0
118,3,3,0
102,3,3,0
102,3,3,0
4,3,3,0
0,3,3,0
110,3,3,0
6,3,3,0
110,3,3,0
0,3,3,0
50,3,3,0
50,3,3,0
0,3,3,0
0,3,3,0
0,3,3,0
0,3,3,0
0,3,3,0
0,3,3,0
0,3,3,0
0,3,3,0
52,1,3,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
7205846,3,3,0
191877078,3,3,0
173504,3,3,0
2776256,3,3,0
57659350,3,3,0
191877078,3,3,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,2,1,0
0,2,1,0
0,2,1,0
0,2,1,0
0,2,1,0
0,2,1,0
0,2,1,0
0,2,1,0
0,2,1,0
0,2,1,0
0,2,1,0
0,2,1,0
0,2,1,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,2,1,0
0,2,1,0
0,2,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,1,1,0
0,2,1,0
0,2,1,0
0,2,1,0
0,2,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
0,3,1,0
3603702,3,3,0
2063606,3,3,0
2063606,3,3,0
2063606,3,3,0
0,1,1,0
0,1,1,0
0,2,1,0
0,2,1,0
0,2,1,0
0,2,1,0
0,2,1,0
0,1,1,0
0,1,1,0
