RegWt,ReqSize,ReqQuality,Result
2,2,2,1
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
32,2,2,1
64,2,2,1
128,2,2,1
2,2,2,1
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
2,2,2,1
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
2,2,2,1
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
2,2,2,1
4,2,2,1
8,2,2,1
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
2,2,2,1
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
2,2,2,1
4,2,2,1
0,2,2,0
0,2,2,0
32,2,2,1
64,2,2,1
128,2,2,1
2,2,2,1
4,2,2,1
8,2,2,1
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
256,2,2,1
2,2,2,1
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
2,2,2,1
4,2,2,1
8,2,2,1
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
2,2,2,1
4,2,2,1
0,2,2,0
0,2,2,0
32,2,2,1
64,2,2,1
128,2,2,1
2,2,2,1
4,2,2,1
8,2,2,1
0,2,2,0
0,2,2,0
0,2,2,0
128,2,2,1
2,3,2,1
4,3,2,1
0,3,2,0
0,3,2,0
32,3,2,1
64,3,2,1
0,3,2,0
256,3,2,1
512,3,2,1
1024,3,2,1
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
2,3,2,1
4,3,2,1
8,3,2,1
16,3,2,1
32,3,2,1
64,3,2,1
128,3,2,1
2,3,2,1
4,3,2,1
8,3,2,1
16,3,2,1
32,3,2,1
64,3,2,1
128,3,2,1
2,3,2,1
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
32,3,2,1
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
32,3,2,1
64,3,2,1
128,3,2,1
2,3,2,1
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
2,3,2,1
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
2,3,2,1
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
2,3,2,1
4,3,2,1
8,3,2,1
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
2,3,2,1
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
2,3,2,1
4,3,2,1
0,3,2,0
0,3,2,0
32,3,2,1
64,3,2,1
128,3,2,1
2,3,2,1
4,3,2,1
8,3,2,1
16,3,2,1
0,3,2,0
0,3,2,0
128,3,2,1
2,3,2,1
4,3,2,1
0,3,2,0
0,3,2,0
0,3,2,0
64,3,2,1
128,3,2,1
256,3,2,1
2,3,2,1
0,3,2,0
0,3,2,0
0,3,2,0
32,3,2,1
64,3,2,1
128,3,2,1
2,3,2,1
0,3,2,0
0,3,2,0
0,3,2,0
32,3,2,1
64,3,2,1
128,3,2,1
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
2,3,2,1
4,3,2,1
8,3,2,1
0,3,2,0
0,3,2,0
0,3,2,0
0,3,2,0
2,3,2,1
0,3,2,0
0,3,2,0
0,3,2,0
32,3,2,1
64,3,2,1
128,3,2,1
2,3,2,1
4,3,2,1
0,3,2,0
0,3,2,0
32,3,2,1
64,3,2,1
128,3,2,1
2,3,2,1
4,3,2,1
8,3,2,1
0,3,2,0
0,3,2,0
0,3,2,0
128,3,2,1
0,1,3,0
0,1,3,0
8,1,3,1
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
8,1,3,1
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
2,2,2,1
4,2,2,1
8,2,2,1
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
4,1,3,1
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
0,2,2,0
2,2,2,1
4,2,2,1
8,2,2,1
16,2,2,1
32,2,2,1
0,2,2,0
128,2,2,1
2,2,2,1
4,2,2,1
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
32,1,3,1
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,3,0
0,1,2,0
0,1,2,0
8,1,2,1
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
2,1,2,1
4,1,2,1
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
4,1,2,1
8,1,2,1
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
0,1,2,0
2,1,2,1
4,1,2,1
